,TBSラジオの送信所があるのはどこでしょうか？,free,埼玉県戸田市,埼玉県川口市,千葉県木更津市,栃木県小山市,,,,
,2024年2月18日（日）に行われる「オードリーのオールナイトニッポン」のライブイベントの会場はどこでしょうか？,free,東京ドーム,西武ドーム,国立競技場,両国国技館,,,,
,2023年6月現在の将棋の八大タイトルのうち、存在しないものはどれでしょうか？,free,棋神,叡王,竜王,名人,,,,
,将棋の藤井聡太竜王・名人が得意とする戦型はどれでしょうか？,free,角換わり,一手損角換わり,相掛かり,横歩取り,,,,
,１kmを１５分で歩く黒木さんが１４km歩くのにかかる時間は何分でしょうか？,free,２１０分,１８０分,２２０分,１９０分,,,,
,2023年6月現在で運行されている寝台特急はどれでしょうか？,free,サンライズ瀬戸・出雲,北斗星,カシオペア,トワイライトエクスプレス,,,,
,青春18きっぷを使い東京駅の始発電車に乗った場合、２２時ごろにどこまで行けるでしょうか？,free,島根県出雲市,山口県下関市,福岡県北九州市,長崎県佐世保市,,,,
,新日本プロレスのIWGPヘビー級王座とIWGPインターコンチネンタル王座が統一されて誕生したベルトの名称はどれでしょうか？,free,IWGP世界ヘビー級王座,IWGPインターコンチネンタルヘビー級王座,IWGPワールドヘビー王座,IWGPGOAT王座,,,,
,プロレス技の「パラダイスロック」の開発者は誰でしょうか？,free,ミラノコレクションA.T.,エル・デスペラード,アントニオ猪木,タイガーマスク,,,,
,自転車ロードレースの３大レースは「ツール・ド・フランス」「ジロ・デ・イタリア」ともうひとつはどれでしょうか？,free,ブエルタ・ア・エスパーニャ,グランプリ・シクリスト・ド・ケベック,ロンド・ファン・フラーンデレン,オムロープ・ヘット・ニウスブラット,,,,
,魚偏に季節の漢字をつくりに当てはめたとき、漢字にならないのはどの季節？,free,夏,春,秋,冬,,,,
,次の内、プログラミング言語の名前はどれ？,programming,なでしこ,ぼたん,こすもす,うめ,,,,
,10億に最も近い素数は？,programming,1000000007,1000000003,999999997,1000000001,,,,
,20 << 2 は？,programming,80,10,20,40,,,,
,スタックにpush(1)→push(2)→pop→push(3)→push(4)→pop→push(5)→popする。スタックの中身は？,programming,1と3,2と5,1と4,1と5,,,,
,ƒ(n)：if n≦1 then return 1 else return n＋ƒ(n－1) 。ƒ(5)はいくつ？,programming,15,25,120,5,,,,
,ハッシュ表探索において，同一のハッシュ値となる確率が最も低くなるのは，ハッシュ値がどの分布で近似されるときか。,programming,一様分布,正規分布,ポアソン分布,2項分布,,,,
,サブルーチンへの引数の渡し方のうち、変数を引数として渡しても、サブルーチンの実行後に変数の値が変更されないことが保証されているものはどれか。,programming,値呼出し,結果呼出し,参照呼出し,名前呼出し,,,,
,HTMLやXMLの要素をどのように表示するかを指示する場合に用いられるものはどれ？,programming,CSS,PHP,CGI,SSI,,,,
,int n = 5 & 3 である。nはいくつ？,programming,1,2,8,4,,,,
,次の内最短経路を探すために使われないアルゴリズムはどれ？,programming,深さ優先探索,幅優先探索,ワーシャルフロイド法,ダイクストラ法,,,,
,次の内ソートにかかる平均計算時間が最も長いアルゴリズムは？,programming,ポゴソート,マージソート,バブルソート,挿入ソート,,,,
,チワワの原産国は？,biology,メキシコ,アイルランド,南アフリカ共和国,カナダ,,,,
,素数の周期で大量発生することが知られている17年ゼミ。絶滅した周期に該当する年はどれ？,biology,2023,2024,2022,2021,,,,
,「Canis lupus familiaris」はどれ？,biology,イエイヌ,カワラバト,イエネコ,モルモット,,,,
,毒を持っているヘビは？,biology,ヤマカガシ,ヒバカリ,アオダイショウ,シマヘビ,,,,
,毒がないキノコはどれ？,biology,タマゴタケ,タマゴタケモドキ,タマゴテングタケ,シロタマゴテングタケ,,,,
,ビントロングは何科の動物？,biology,ジャコウネコ科,クマネコ科,ビントロング科,サバ科,,,,
,通常、鳥類の指の数は4本が大半ですが指の数が5本あるのはどの鳥でしょう。,biology,烏骨鶏,ダチョウ,オオオニハシ,キジバト,,,,
,さつまいもはヒルガオ科、ジャガイモはナス科、ではサトイモは何科の植物？,biology,サトイモ科,ナス科,ヒルガオ科,トウダイグサ科,,,,
,ミーアキャット。アルファベット表記だとどれが正しい？,biology,meerkat,meowcat,mearcat,miacat,,,,
,たぬき・むじな事件と対比されるむささび・もま事件。もまとは何の生き物？,biology,むささび,リス,うさぎ,アナグマ,,,,
